Year/Ports,Petroleum Oil Lubricant(POL) & POL PRODUCTS,FERTILSER & FERTILISER PRODUCTS,IRON ORE,COAL,FOOD- GRAINS,CONTAINERS HANDLED,OTHERS,TOTAL CARGO HANDLED
2001-02,NA,NA,NA,3401,NA,NA,NA,3401
2002-03,NA,NA,NA,8485,NA,NA,NA,8485
2003-04,NA,NA,NA,9277,NA,NA,NA,9277
2004-05,104,NA,520,8856,NA,NA,NA,9480
2005-06,244,NA,537,8387,NA,NA,NA,9168
2006-07,188,NA,1724,8802,NA,NA,NA,10714
2007-08,319,NA,2190,9051,NA,NA,3,11563
2008-09,366,NA,1111,9708,NA,NA,315,11500
2009-10,395,NA,936,9279,NA,NA,93,10703
2010-11,509,NA,401,9368,NA,NA,731,11009
2011-12,502,NA,NA,13111,NA,NA,1343,14956
2012-13,521,NA,NA,14925,NA,NA,2439,17885
2013-14,1275,NA,NA,22482,NA,NA,3580,27337
2014-15 ,1894,0,NA,24222,0,NA,4135,30251
2015-16 ,2443,0,0,25612,0,1,4150,32206
2016-17 ,2648,0,0,23096,0,1,4275,30020
2017-18 ,3021,0,0,23172,0,52,4201,30446
2018-19 ,3233,220,0,25003,0,1101,4941,34498
2019-20,2993,99,0,20266,0,2524,5864,31746
2020-21,2420,0,0,0,15189,20,8260,25889
